Sr. No,Symbol,Name of the company
606,JAGRAN,Jagran Prakashan Limited 
607,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited 
608,JAIBALAJI,Jai Balaji Industries Limited 
609,JAICORPLTD,Jai Corp Limited 
610,JAINSTUDIO,Jain Studios Limited 
611,JAMNAAUTO,Jamna Auto Industries Limited 
612,JAYAGROGN,Jayant Agro Organics Limited 
613,JAYBARMARU,Jay Bharat Maruti Limited 
614,JAYNECOIND,Jayaswal Neco Industries Limited 
615,JAYSREETEA,Jayshree Tea & Industries Limited 
616,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited 
617,JBFIND,JBF Industries Limited 
618,JBMA,JBM Auto Limited 
619,JCTEL,JCT Electronics Limited 
620,JENSONICOL,Jenson & Nicholson (India) Limited 
621,JETAIRWAYS,Jet Airways (India) Limited 
622,JEYPORE,The Jeypore Sugar Company Limited 
623,JHS,JHS Svendgaard Laboratories Limited 
624,JIKIND,JIK Industries Limited 
625,JINDALPHOT,Jindal Photo Limited 
626,JINDALPOLY,Jindal Poly Films Limited 
627,JINDALSAW,Jindal Saw Limited 
628,JINDALSTEL,Jindal Steel & Power Limited 
629,JINDALSWHL,Jindal South West Holdings Limited 
630,JINDCOT,Jindal Cotex Limited 
631,JINDRILL,Jindal Drilling And Industries Limited 
632,JINDWORLD,Jindal Worldwide Limited 
633,JISLJALEQS,Jain Irrigation Systems Limited 
634,JKCEMENT,JK Cement Limited 
635,JKIL,J.Kumar Infraprojects Limited 
636,JKLAKSHMI,JK Lakshmi Cement Limited 
637,JKPAPER,JK Paper Limited 
638,JKTYRE,JK Tyre & Industries Limited 
639,JMCPROJECT,JMC Projects (India) Limited 
640,JMFINANCIL,JM Financial Limited 
641,JMTAUTOLTD,JMT Auto Limited 
642,JOCIL,Jocil Limited 
643,JPASSOCIAT,Jaiprakash Associates Limited 
644,JPINFRATEC,Jaypee Infratech Limited 
645,JPPOWER,Jaiprakash Power Ventures Limited 
646,JSL,JSL Stainless Limited 
647,JSWENERGY,JSW Energy Limited 
648,JSWSTEEL,JSW Steel Limited 
649,JUBILANT,Jubilant Life Sciences Limited 
650,JUBLFOOD,Jubilant Foodworks Limited 
651,JUBLINDS,Jubilant Industries Limited 
652,JVLAGRO,JVL Agro Industries Limited 
653,JYOTHYLAB,Jyothy Laboratories Limited 
654,JYOTISTRUC,Jyoti Structures Limited 
655,KABRAEXTRU,Kabra Extrusion Technik Limited 
656,KAJARIACER,Kajaria Ceramics Limited 
657,KAKATCEM,Kakatiya Cement Sugar & Industries Limited 
658,KALECONSUL,Kale Consultants Limited 
659,KALINDEE,Kalindee Rail Nirman (Engineers) Limited 
660,KALPATPOWR,Kalpataru Power Transmission Limited 
661,KALYANIFRG,Kalyani Forge Limited 
662,KAMATHOTEL,Kamat Hotels (I) Limited 
663,KANDAGIRI,Kandagiri Spinning Mills Limited. 
664,KANORICHEM,Kanoria Chemicals & Industries Limited 
665,KANSAINER,Kansai Nerolac Paints Limited 
666,KARURVYSYA,Karur Vysya Bank Limited 
667,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited 
668,KAVVERITEL,Kavveri Telecom Products Limited 
669,KBIL,Kirloskar Brothers Investments Limited 
670,KCP,KCP Limited 
671,KCPSUGIND,KCP Sugar and Industries Corporation Limited 
672,KEC,KEC International Limited 
673,KECL,Kirloskar Electric Company Limited 
674,KEI,KEI Industries Limited 
675,KEMROCK,Kemrock Industries and Exports Limited 
676,KERNEX,Kernex Microsystems (India) Limited 
677,KESARENT,Kesar Enterprises Limited 
678,KESORAMIND,Kesoram Industries Limited 
679,KEYCORPSER,Keynote Corporate Services Limited 
680,KFA,Kingfisher Airlines Limited 
681,KGL,Karuturi Global Limited 
682,KHAITANELE,Khaitan Electricals Limited 
683,KHAITANLTD,Khaitan (India) Limited 
684,KHANDSE,Khandwala Securities Limited 
685,KICL,Kalyani Investment Company Limited 
686,KIL,Kamdhenu Ispat Limited 
687,KILITCH,Kilitch Drugs (India) Limited 
688,KINETICMOT,Kinetic Motor Company Limited 
689,KIRIINDUS,Kiri Industries Limited 
690,KIRLOSBROS,Kirloskar Brothers Limited 
691,KIRLOSENG,Kirloskar Oil Engines Limited 
692,KIRLOSIND,Kirloskar Industries Limited 
693,KITPLYIND,Kitply Industries Limited 
694,KKCL,Kewal Kiran Clothing Limited 
695,KLGSYSTEL,KLG Systel Limited 
696,KMSUGAR,K.M.Sugar Mills Limited 
697,KNRCON,KNR Constructions Limited 
698,KOHINOOR,Kohinoor Foods Limited 
699,KOLTEPATIL,Kolte - Patil Developers Limited 
700,KOPDRUGS,KDL Biotech Limited 
701,KOPRAN,Kopran Limited 
702,KOTAKBANK,Kotak Mahindra Bank Limited 
703,KOTARISUG,Kothari Sugars And Chemicals Limited 
704,KOTHARIPET,Kothari Petrochemicals Limited 
705,KOTHARIPRO,Kothari Products Limited 
706,KOUTONS,Koutons Retail India Limited 
707,KPIT,KPIT Cummins Infosystems Limited 
708,KPRMILL,K.P.R. Mill Limited 
709,KRBL,KRBL Limited 
710,KRISHNAENG,Krishna Engineering Works Limited 
711,KSBPUMPS,KSB Pumps Limited 
712,KSCL,Kaveri Seed Company Limited 
713,KSERASERA,K Sera Sera Limited 
714,KSK,KSK Energy Ventures Limited 
715,KSL,Kalyani Steels Limited 
716,KSOILS,K S Oils Limited 
717,KTIL,Kesar Terminals & Infrastructure Limited 
718,KTKBANK,The Karnataka Bank Limited 
719,LAKPRE,Lakshmi Precision Screws Limited 
720,LAKSHMIEFL,Lakshmi Energy and Foods Limited 
721,LAKSHVILAS,Lakshmi Vilas Bank Limited 
722,LANCOIN,Lanco Industries Limited 
723,LAOPALA,La Opala RG Limited 
724,LAXMIMACH,Lakshmi Machine Works Limited 
725,LGBBROSLTD,LG Balakrishnan & Bros Limited 
726,LGBFORGE,LGB Forge Limited 
727,LIBERTSHOE,Liberty Shoes Limited 
728,LICHSGFIN,LIC Housing Finance Limited 
729,LITL,Lanco Infratech Limited 
730,LLOYDELENG,Lloyd Electric & Engineering Limited 
731,LLOYDFIN,Lloyds Finance Limited 
732,LLOYDSTEEL,Lloyds Steel Industries Limited 
733,LML,LML Limited 
734,LOGIXMICRO,Logix Microsystems Limited 
735,LOKESHMACH,Lokesh Machines Limited 
736,LOTUSEYE,Lotus Eye Care Hospital Limited 
737,LOVABLE,Lovable Lingerie Limited 
738,LPDC,Landmark Property Development Company Limited 
739,LT,Larsen & Toubro Limited 
740,LUMAXAUTO,Lumax Automotive Systems Limited 
741,LUMAXIND,Lumax Industries Limited 
742,LUMAXTECH,Lumax Auto Technologies Limited 
743,LUPIN,Lupin Limited 
744,LYKALABS,Lyka Labs Limited
671,M&M,Mahindra & Mahindra Limited 
672,M&MFIN,Mahindra & Mahindra Financial Services Limited 
673,MADHUCON,Madhucon Projects Limited 
674,MADRASCEM,Madras Cements Limited 
675,MADRASFERT,Madras Fertilizers Limited 
676,MAGMA,Magma Fincorp Limited 
677,MAHABANK,Bank of Maharashtra 
678,MAHINDFORG,Mahindra Forgings Limited 
679,MAHINDUGIN,Mahindra Ugine Steel Company Limited 
680,MAHLIFE,Mahindra Lifespace Developers Limited 
681,MAHSCOOTER,Maharashtra Scooters Limited 
682,MAHSEAMLES,Maharashtra Seamless Limited 
683,MALWACOTT,Malwa Cotton Spg. Mills Limited 
684,MANAKSIA,Manaksia Limited 
685,MANALIPETC,Manali Petrochemical Limited 
686,MANDHANA,Mandhana Industries Limited 
687,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited 
688,MANGLMCEM,Mangalam Cement Limited 
689,MANINDS,Man Industries (India) Limited 
690,MANINFRA,Man Infraconstruction Limited 
691,MANUGRAPH,Manugraph India Limited 
692,MARALOVER,Maral Overseas Limited 
693,MARICO,Marico Limited 
694,MARKSANS,Marksans Pharma Limited 
695,MARUTI,Maruti Suzuki India Limited 
696,MASTEK,Mastek Limited 
697,MAWANASUG,Mawana Sugars Limited 
698,MAX,Max India Limited 
699,MAXWELL,Maxwell Industries Limited 
700,MBECL,Mcnally Bharat Engineering Company Limited 
701,MBLINFRA,MBL Infrastructures Limited 
702,MCDHOLDING,McDowell Holdings Limited 
703,MCDOWELL-N,United Spirits Limited 
704,MCLEODRUSS,Mcleod Russel India Limited 
705,MEGASOFT,Megasoft Limited 
706,MEGH,Meghmani Organics Limited 
707,MERCK,Merck Limited 
708,MHRIL,Mahindra Holidays & Resorts India Limited 
709,MIC,MIC Electronics Limited 
710,MICROSEC,Microsec Financial Services Limited 
711,MICROTECH,Micro Technologies (India) Limited 
712,MINDAIND,Minda Industries Limited 
713,MINDTREE,MindTree Limited 
714,MIRCELECTR,MIRC Electronics Limited 
715,MIRZAINT,Mirza International Limited 
716,MLL,Mercator Lines Limited 
717,MMFL,MM Forgings Limited 
718,MMFSL,Money Matters Financial Services Limited 
719,MONNETISPA,Monnet Ispat Limited 
720,MONSANTO,Monsanto India Limited 
721,MORARJETEX,Morarjee Textiles Limited 
722,MOREPENLAB,Morepen Laboratories Limited 
723,MOSERBAER,Moser-Baer (I) Limited 
724,MOTHERSUMI,Motherson Sumi Systems Limited 
725,MOTILALOFS,Motilal Oswal Financial Services Limited 
726,MOTOGENFIN,The Motor & General Finance Limited 
727,MPHASIS,MphasiS Limited 
728,MPSLTD,MPS Limited 
729,MRF,MRF Limited 
730,MRO-TEK,MRO-TEK Limited 
731,MRPL,Mangalore Refinery and Petrochemicals Limited 
732,MSPL,MSP Steel & Power Limited 
733,MTNL,Mahanagar Telephone Nigam Limited 
734,MUDRA,Mudra Lifestyle Limited 
735,MUKANDENGG,Mukand Engineers Limited 
736,MUKANDLTD,Mukand Limited 
737,MUKTAARTS,Mukta Arts Limited 
738,MUNDRAPORT,Mundra Port and Special Economic Zone Limited 
739,MUNJALAU,Munjal Auto Industries Limited 
740,MUNJALSHOW,Munjal Showa Limited 
741,MURLIIND,Murli Industries Limited 
742,MURUDCERA,Murudeshwar Ceramics Limited 
743,MVL,MVL Limited 
744,MVLIND,MVL Industries Limited 
745,MYSOREBANK,State Bank of Mysore 
746,NAGARFERT, 
juna Fertilizer & Chemicals Limited

,,,, 
747,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited 
748,NAGREEKEXP,Nagreeka Exports Limited 
749,NAHARCAP,Nahar Capital and Financial Services Limited 
750,NAHARINDUS,Nahar Industrial Enterprises Limited 
751,NAHARPOLY,Nahar Poly Films Limited 
752,NAHARSPING,Nahar Spinning Mills Limited 
753,NANDAN,Nandan Exim Limited 
754,NATCOPHARM,Natco Pharma Limited 
755,NATIONALUM,National Aluminium Company Limited 
756,NATNLSTEEL,National Steel And Agro Industries Limited 
757,NAUKRI,Info Edge (India) Limited 
758,NAVINFLUOR,Navin Fluorine International Limited
759,NAVNETPUBL,Navneet Publications India Limited 
760,NBVENTURES,Nava Bharat Ventures Limited 
761,NCC,NCC Limited 
762,NCLIND,NCL Industries Limited 
763,NDTV,New Delhi Television Limited 
764,NECLIFE, Nectar Lifesciences Limited 
765,NELCAST,Nelcast Limited 
766,NELCO,NELCO Limited 
767,NEPCMICON,NEPC India Limited 
768,NESCO,Nesco Limited 
769,NETWORK18,Network18 Media & Investments Limited 
770,NEULANDLAB,Neuland Laboratories Limited 
771,NEXTMEDIA,Next Mediaworks Limited 
772,NEYVELILIG,Neyveli Lignite Corporation Limited 
773,NFL,National Fertilizers Limited 
774,NHPC,NHPC Limited 
775,NICCO,Nicco Corporation Limited 
776,NIITLTD,NIIT Limited 
777,NIITTECH,NIIT Technologies Limited 
778,NILKAMAL,Nilkamal Limited 
779,NIPPOBATRY,Nippo Batteries Company Limited 
780,NIRMA,Nirma Limited 
781,NISSAN,Nissan Copper Limited 
782,NITCO,Nitco Limited 
783,NITESHEST,Nitesh Estates Limited 
784,NITINFIRE,Nitin Fire Protection Industries Limited 
785,NITINSPIN,Nitin Spinners Limited 
786,NMDC,NMDC Limited 
787,NOCIL,NOCIL Limited 
788,NOIDATOLL,Noida Toll Bridge Company Limited 
789,NORTHGATE,Northgate Technologies Limited 
790,NRBBEARING,NRB Bearing Limited 
791,NSIL,Nalwa Sons Investments Limited 
792,NTPC,NTPC Limited 
793,NUCLEUS,Nucleus Software Exports Limited 
794,NUMERICPW,Numeric Power Systems Limited 
795,NUTEK,Nu Tek India Limited 
796,OBEROIRLTY,Oberoi Realty Limited 
797,OCL,OCL India Limited 
798,OFSS,Oracle Financial Services Software Limited 
799,OIL,Oil India Limited 
800,OILCOUNTUB,Oil Country Tubular Limited 
801,OISL,OCL Iron and Steel Limited 
802,OMAXAUTO,Omax Autos Limited 
803,OMAXE,Omaxe Limited 
804,OMNITECH,Omnitech Infosolutions Limited 
805,ONGC,Oil & Natural Gas Corporation Limited 
806,ONMOBILE,OnMobile Global Limited 
807,ONWARDTEC,Onward Technologies Limited 
808,OPTOCIRCUI,Opto Circuits (India) Limited 
809,ORBITCORP,Orbit Corporation Limited 
810,ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Limited 
811,ORIENTABRA,Orient Abrasives Limited 
812,ORIENTBANK,Oriental Bank of Commerce 
813,ORIENTCERA,Orient Ceramics and Industries Limited 
814,ORIENTHOT,Oriental Hotels Limited 
815,ORIENTLTD,Orient Press Limited 
816,ORIENTPPR,Orient Paper & Industries Limited 
817,ORISSAMINE,The Orissa Minerals Development Company Limited 
818,OUDHSUG,The Oudh Sugar Mills Limited 
819,PAEL,PAE Limited 
820,PAGEIND,Page Industries Limited 
821,PANACEABIO,Panacea Biotec Limited 
822,PANORAMUNI,Panoramic Universal Limited 
823,PANTALOONR,Pantaloon Retail (India) Limited 
824,PAPERPROD,The Paper Products Limited 
825,PARABDRUGS,Parabolic Drugs Limited 
826,PARACABLES,Paramount Communications Limited 
827,PARAL,Parekh Aluminex Limited 
828,PARRYSUGAR,Parrys Sugar Industries Limited 
829,PARSVNATH,Parsvnath Developers Limited 
830,PATELENG,Patel Engineering Limited 
831,PATINTLOG,Patel Integrated Logistics Limited 
832,PATNI,Patni Computer Systems Limited 
833,PATSPINLTD,Patspin India Limited 
834,PBAINFRA,PBA Infrastructure Limited 
835,PDPL,Parenteral Drugs (India) Limited 
836,PDUMJEIND,Pudumjee Industries Limited 
837,PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited 
838,PENINLAND,Peninsula Land Limited 
839,PERSISTENT,Persistent Systems Limited 
840,PETRONENGG,Petron Engineering Construction Limited 
841,PETRONET,Petronet LNG Limited 
842,PFC,Power Finance Corporation Limited 
843,PFIZER,Pfizer Limited 
844,PFOCUS,Prime Focus Limited 
845,PGHH,Procter & Gamble Hygiene and Health Care Limited 
846,PHILIPCARB,Phillips Carbon Black Limited 
847,PHOENIXLTD,The Phoenix Mills Limited 
848,PIDILITIND,Pidilite Industries Limited 
849,PIONDIST,Pioneer Distilleries Limited 
850,PIPAVAVYD,Pipavav Shipyard Limited 
851,PIRGLASS,Piramal Glass Limited 
852,PIRHEALTH,Piramal Healthcare Limited 
853,PIRLIFE,Piramal Life Sciences Limited 
854,PITTILAM,Pitti Laminations Limited 
855,PLASTIBLEN,Plastiblends India Limited 
856,PLETHICO,Plethico Pharmaceuticals Limited 
857,PNB,Punjab National Bank 
858,PNBGILTS,PNB Gilts Limited 
859,POCHIRAJU,Pochiraju Industries Limited 
860,POLARIS,Polaris Software Lab Limited 
861,POLYPLEX,Polyplex Corporation Limited 
862,PONNIERODE,Ponni Sugars (Erode) Limited 
863,POWERGRID,Power Grid Corporation of India Limited 
864,PPAP,Precision Pipes And Profiles Company Limited 
865,PRADIP,Pradip Overseas Limited 
866,PRAENG,Prajay Engineers Syndicate Limited 
867,PRAJIND,Praj Industries Limited 
868,PRAKASH,Prakash Industries Limited 
869,PRAKASHSTL,Prakash Steelage Limited 
870,PRATIBHA,Pratibha Industries Limited 
871,PRECOT,Precot Meridian Limited 
872,PRECWIRE,Precision Wires India Limited 
873,PREMIER,Premier Limited 
874,PRESTIGE,Prestige Estates Projects Limited 
875,PRICOL,Pricol Limited 
876,PRIMESECU,Prime Securities Limited 
877,PRISMCEM,Prism Cement Limited 
878,PRITHVI,Prithvi Information Solutions Limited 
879,PROVOGUE,Provogue (India) Limited 
880,PSL,PSL Limited 
881,PTC,PTC India Limited 
882,PTL,PTL Enterprises Limited 
883,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited 
884,PUNJLLOYD,Punj Lloyd Limited 
885,PURVA,Puravankara Projects Limited 
886,PVP,PVP Ventures Limited 
887,PVR,PVR Limited 
888,QUINTEGRA,Quintegra Solutions Limited 
889,RADICO,Radico Khaitan Limited 
890,RAINBOWPAP,Rainbow Papers Limited 
891,RAINCOM,Rain Commodities Limited 
892,RAJESHEXPO,Rajesh Exports Limited 
893,RAJOIL,Raj Oil Mills Limited 
894,RAJSREESUG,Rajshree Sugars & Chemicals Limited 
895,RAJTV,Raj Television Network Limited 
896,RAJVIR,Rajvir Industries Limited 
897,RALLIS,Rallis India Limited 
898,RAMANEWS,Rama Newsprint and Papers Limited 
899,RAMCOIND,Ramco Industries Limited 
900,RAMCOSYS,Ramco Systems Limited 
901,RAMKY,Ramky Infrastructure Limited 
902,RAMSARUP,Ramsarup Industries Limited 
903,RANASUG,Rana Sugars Limited 
904,RANBAXY,Ranbaxy Laboratories Limited 
905,RANEENGINE,Rane Engine Valve Limited 
906,RANEHOLDIN,Rane Holdings Limited 
907,RATNAMANI,Ratnamani Metals & Tubes Limited 
908,RAYMOND,Raymond Limited 
909,RBL,Rane Brake Lining Limited 
910,RBN,Reliance Broadcast Network Limited 
911,RCF,Rashtriya Chemicals and Fertilizers Limited 
912,RCOM,Reliance Communications Limited 
913,RECLTD,Rural Electrification Corporation Limited 
914,REDINGTON,Redington (India) Limited 
915,REFEX,Refex Refrigerants Limited 
916,REIAGROLTD,Rei Agro Limited 
917,REISIXTEN,REI Six Ten Retail Limited 
918,RELCAPITAL, Reliance Capital Limited 
919,RELIANCE,Reliance Industries Limited 
920,RELIGARE,Religare Enterprises Limited 
921,RELINFRA,Reliance Infrastructure Limited 
922,RELMEDIA,Reliance MediaWorks Limited 
923,RENUKA, Shree Renuka Sugars Limited 
924,REPRO,Repro India Limited 
925,RESPONIND,Responsive Industries Limited 
926,RESURGERE,Resurgere Mines & Minerals India Limited 
927,REVATHI,Revathi Equipment Limited 
928,RICOAUTO,Rico Auto Industries Limited 
929,RIIL,Reliance Industrial Infrastructure Limited 
930,RJL,Renaissance Jewellery Limited 
931,RKFORGE,Ramkrishna Forgings Limited 
932,RMCL,Radha Madhav Corporation Limited 
933,RML,Rane (Madras) Limited 
934,ROHITFERRO,Rohit Ferro-Tech Limited 
935,ROHLTD,Royal Orchid Hotels Limited 
936,ROLTA,Rolta India Limited 
937,ROMAN,Roman Tarmat Limited 
938,RPGLIFE,RPG Life Sciences Limited 
939,RPOWER,Reliance Power Limited 
940,RSSOFTWARE,R. S. Software (India) Limited 
941,RSWM,RSWM Limited 
942,RSYSTEMS,R Systems International Limited 
943,RUBYMILLS,The Ruby Mills Limited 
944,RUCHIRA,Ruchira Papers Limited 
945,RUCHISOYA,Ruchi Soya Industries Limited 
946,RUCHINFRA,Ruchi Infrastructure Limited 
947,SABERORGAN,Sabero Organics Gujarat Limited 
948,SABTN,Sri Adhikari Brothers Television Network Limited 
949,SADBHAV,Sadbhav Engineering Limited 
950,SAGCEM,Sagar Cements Limited 
951,SAHPETRO,Sah Petroleums Limited 
952,SAIL,Steel Authority of India Limited 
953,SAKHTISUG,Sakthi Sugars Limited 
954,SAKSOFT,Saksoft Limited 
955,SALORAINTL,Salora International Limited 
956,SALSTEEL,S.A.L. Steel Limited 
957,SAMBHAAV,Sambhaav Media Limited 
958,SAMTEL,Samtel Color Limited 
959,SANDESH,The Sandesh Limited 
960,SANGAMIND,Sangam (India) Limited 
961,SANGHIIND,Sanghi Industries Limited 
962,SANGHVIMOV,Sanghvi Movers Limited 
963,SANWARIA,Sanwaria Agro Oils Limited 
964,SARDAEN,Sarda Energy & Minerals Limited 
965,SAREGAMA,Saregama India Limited 
966,SARLAPOLY,Sarla Performance Fibers Limited 
967,SASKEN,Sasken Communication Technologies Limited 
968,SATHAISPAT,Sathavahana Ispat Limited 
969,SATYAMCOMP,Satyam Computer Services Limited 
970,SAVERA,Savera Industries Limited 
971,SBBJ,State Bank of Bikaner and Jaipur 
972,SBIN,State Bank of India 
973,SBT,State Bank of Travancore 
974,SCI,Shipping Corporation Of India Limited 
975,SEAMECLTD,Seamec Limited 
976,SEINVEST,S.E. Investments Limited 
977,SELAN,Selan Exploration Technology Limited 
978,SELMCL,SEL Manufacturing Company Limited 
979,SESAGOA,Sesa Goa Limited 
980,SESHAPAPER,Seshasayee Paper and Boards Limi 
981,SEZALGLASS,Sezal Glass Limited 
982,SGJHL,Shree Ganesh Jewellery House Limited 
983,SHALPAINTS,Shalimar Paints Limited 
984,SHANTIGEAR,Shanthi Gears Limited 
985,SHARRESLTD,Sharyans Resources Limited 
986,SHASUNPHAR,Shasun Pharmaceuticals Limited 
987,SHILPAMED,Shilpa Medicare Limited 
988,SHIVAMAUTO,Shivam Autotech Limited 
989,SHIVTEX,Shiva Texyarn Limited 
990,SHIV-VANI,Shiv-Vani Oil & Gas Exploration Services Limited 
991,SHLAKSHMI,Shri Lakshmi Cotsyn Limited 
992,SHOPERSTOP,Shoppers Stop Limited 
993,SHPRE,Shree Precoated Steels Limited 
994,SHREEASHTA,Shree Ashtavinayak Cine Vision Limited 
995,SHREECEM,Shree Cements Limited 
996,SHRENUJ,Shrenuj & Company Limited 
997,SHREYANIND,Shreyans Industries Limited 
998,SHREYAS,Shreyas Shipping & Logistics Limited 
999,SHRIRAMCIT,Shriram City Union Finance Limited 
1000,SHRIRAMEPC,Shriram EPC Limited 
1001,SHYAMTEL,Shyam Telecom Limited 
1002,SICAGEN,Sicagen India Limited 
1003,SICAL,Sical Logistics Limited 
1004,SIEMENS,Siemens Limited 
1005,SIL,Standard Industries Limited 
1006,SILINV,SIL Investments Limited 
1007,SIMBHSUGAR,Simbhaoli Sugars Limited 
1008,SIMPLEX,Simplex Projects Limited 
1009,SIMPLEXINF,Simplex Infrastructures Limited 
1010,SINTEX,Sintex Industries Limited 
1011,SIRPAPER,The Sirpur Paper Mills Limited 
1012,SIYSIL,Siyaram Silk Mills Limited 
1013,SJVN,SJVN Limited 
1014,SKFINDIA,SKF India Limited 
1015,SKSMICRO,SKS Microfinance Limited 
1016,SKUMARSYNF,S. Kumars Nationwide Limited 
1017,SMARTLINK,Smartlink Network Systems Limited 
1018,SMLISUZU,SML Isuzu Limited 
1019,SMPL,Sujana Metal Products Limited 
1020,SMSPHARMA,SMS Pharmaceuticals Limited 
1021,SOBHA,Sobha Developers Limited 
1022,SOLARINDS,Solar Industries India Limited 
1023,SOMANYCERA,Somany Ceramics Limited 
1024,SOMATEX,Soma Textiles & Industries Limited 
1025,SONASTEER,Sona Koyo Steering Systems Limited 
1026,SONATSOFTW,Sonata Software Limited 
1027,SOTL,Savita Oil Technologies Limited 
1028,SOUTHBANK,The South Indian Bank Limited 
1029,SPARC,Sun Pharma Advanced Research Company Limited 
1030,SPECTACLE,Spectacle Infotek Limited 
1031,SPENTEX,Spentex Industries Limited 
1032,SPIC,Southern Petrochemicals Industries Corporation Limited 
1033,SPICEMOBIL,Spice Mobility Limited 
1034,SPMLINFRA,SPML Infra Limited 
1035,SREINFRA,SREI Infrastructure Finance Limited 
1036,SRF,SRF Limited 
1037,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited 
1038,SRTRANSFIN,Shriram Transport Finance Company Limited 
1039,SSWL,Steel Strips Wheels Limited 
1040,STAR,Strides Arcolab Limited 
1041,STARPAPER,Star Paper Mills Limited 
1042,STCINDIA,The State Trading Corporation of India Limited 
1043,STER,Sterlite Industries ( India ) Limited 
1044,STERLINBIO,Sterling Biotech Limited 
1045,STERTOOLS,Sterling Tools Limited 
1046,STINDIA,STI India Limited 
1047,STOREONE,Store One Retail India Limited 
1048,STRTECH,Sterlite Technologies Limited 
1049,SUBEX,Subex Limited 
1050,SUBROS,Subros Limited 
1051,SUDARSCHEM,Sudarshan Chemical Industries Limited 
1052,SUJANATOW,Sujana Tower Limited 
1053,SUJANAUNI,Sujana Universal Industries Limited 
1054,SUNCLAYTON,Sundaram Clayton Limited 
1055,SUNDARAM,Sundaram Multi Pap Limited 
1056,SUNDARMFIN,Sundaram Finance Limited 
1057,SUNDRMBRAK,Sundaram Brake Linings Limited 
1058,SUNDRMFAST,Sundram Fasteners Limited 
1059,SUNFLAG,Sunflag Iron And Steel Company Limited 
1060,SUNILHITEC,Sunil Hitech Engineers Limited 
1061,SUNPHARMA,Sun Pharmaceuticals Industries Limited 
1062,SUNTECK,Sunteck Realty Limited 
1063,SUNTV,Sun TV Network Limited 
1064,SUPERSPIN,Super Spinning Mills Limited 
1065,SUPPETRO,Supreme Petrochem Limited 
1066,SUPRAJIT,Suprajit Engineering Limited 
1067,SUPREMEIND,Supreme Industries Limited 
1068,SUPREMEINF,Supreme Infrastructure India Limited 
1069,SUPREMETEX,Supreme Tex Mart Limited 
1070,SURAJDIAMN,Su-Raj Diamonds and Jewellery Limited 
1071,SURANACORP,Surana Corporation Limited 
1072,SURANAIND,Surana Industries Limited 
1073,SURYAJYOTI,Suryajyoti Spinning Mills Limited 
1074,SURYALAXMI,Suryalakshmi Cotton Mills Limited 
1075,SURYAPHARM,Surya Pharmaceutical Limited 
1076,SURYAROSNI,Surya Roshni Limited 
1077,SUTLEJTEX,Sutlej Textiles and Industries Limited 
1078,SUVEN,Suven Life Sciences Limited 
1079,SUZLON,Suzlon Energy Limited 
1080,SWARAJENG,Swaraj Engines Limited 
1081,SYNCOM,Syncom Healthcare Limited 
1082,SYNDIBANK,Syndicate Bank 
1083,TAJGVK,Taj GVK Hotels & Resorts Limited 
1084,TAKE,Take Solutions Limited 
1085,TALBROAUTO,Talbros Automotive Components Limited 
1086,TALWALKARS,Talwalkars Better Value Fitness Limited 
1087,TANLA,Tanla Solutions Limited 
1088,TANTIACONS,Tantia Constructions Limited 
1089,TARAPUR,Tarapur Transformers Limited 
1090,TATACHEM,Tata Chemicals Limited 
1091,TATACOMM,Tata Communications Limited 
1092,TATAELXSI,Tata Elxsi Limited 
1093,TATACOFFEE,Tata Coffee Limited 
1094,TATAGLOBAL,Tata Global Beverages Limited 
1095,TATAINVEST, Tata Investment Corporation Limited 
1096,TATAMETALI,Tata Metaliks Limited 
1097,TATAMOTORS,Tata Motors Limited 
1098,TATAPOWER,Tata Power Company Limited 
1099,TATASPONGE,Tata Sponge Iron Limited 
1100,TATASTEEL,Tata Steel Limited 
1101,TCI,Transport Corporation of India Limited 
1102,TCIFINANCE,TCI Finance Limited 
1103,TCS,Tata Consultancy Services Limited 
1104,TECHM,Tech Mahindra Limited 
1105,TECHNOFAB,Technofab Engineering Limited 
1106,TECPRO,Tecpro Systems Limited 
1107,TELEDATAIT,Teledata Technology Solutions Limited 
1108,TEXMACOLTD,Texmaco Limited 
1109,TEXMOPIPES,Texmo Pipes and Products Limited 
1110,TFCILTD,Tourism Finance Corporation of India Limited 
1111,TFL,Transwarranty Finance Limited 
1112,THANGAMAYL,Thangamayil Jewellery Limited 
1113,THEMISMED,Themis Medicare Limited 
1114,THERMAX,Thermax Limited 
1115,THINKSOFT,Thinksoft Global Services Limited 
1116,THIRUSUGAR,Thiru Arooran Sugars Limited 
1117,THOMASCOOK,Thomas Cook (India) Limited 
1118,TI,Tilaknagar Industries Limited 
1119,TIDEWATER,Tide Water Oil Company (India) Limited 
1120,TIIL,Technocraft Industries (India) Limited 
1121,TIL,TIL Limited 
1122,TIMESGTY,Times Guaranty Limited 
